religion,Denomination,sub denomination,sub denomination 2,leader,since,days
Islam,Sunni,,Sunni / International / International Islamic Council for Da'wah and Relief,Abdullah bin Abdulaziz Al-Musleh / Secretary-General,present,
Islam,Sunni,,Sunni / International / International Islamic Council for Da'wah and Relief / Muslim World League,Muhammad bin Abdul Karim Issa / Secretary General,2016,
Islam,Sunni,,Sunni / International / International Islamic Council for Da'wah and Relief / World Muslim Congress / President,Abdullah Omar Nasseef,present,
Islam,Sunni,,Sunni / International / International Islamic Council for Da'wah and Relief / World Muslim Congress / Secretary General,Raja Zafar-ul-Haq,present,
Islam,Sunni,,Sunni / International / Muslim Brotherhood,Mohammed Badie / General Guide,2010,
Islam,Sunni,,Sunni / Afghanistan / Taliban,Hibatullah Akhundzada / Amir,2016,
Islam,Sunni,,Sunni / Australia / Grand Mufti of Australia,Ibrahim Abu Mohamed,2018,
Islam,Sunni,,Sunni / Bosnia and Herzegovina / Islamic Community of Bosnia and Herzegovina,Husein Kavazović / Grand Mufti,2012,
Islam,Sunni,,Sunni / China / Islamic Association of China,Xilalunding Chen Guangyuan / President,present,
Islam,Sunni,,Sunni / Indonesia / Indonesian Ulema Council,Anwar Iskandar / chairman,2023,
Islam,Sunni,,Sunni / Indonesia / Muhammadiyah,Haedar Nashir,2015,
Islam,Sunni,,Sunni / Indonesia / Nahdlatul Ulama / Spiritual leader,Miftachul Akhyar,2018,
Islam,Sunni,,Sunni / Indonesia / Nahdlatul Ulama / Chairman,Yahya Cholil Staquf,2021,
Islam,Sunni,,Sunni / Israel and Palestine / Grand Mufti of Jerusalem,Muhammad Ahmad Hussein,2006,
Islam,Sunni,,Sunni / Kazakhstan / Spiritual Administration of the Muslims of Kazakhstan,Yerzhan Malgajyuly Mayamerov / Grand Mufti,2013,
Islam,Sunni,,Sunni / Malaysia / Fatwa Committee of the National Council for Islamic Religious Affairs,Nooh Gadut / Chairman,2022,
Islam,Sunni,,Sunni / North Macedonia / Islamic Religious Community of Macedonia,Zejnulla Fazliu / Islamic religious leader,1990,
Islam,Sunni,,Sunni / Russia / Central Spiritual Administration of the Muslims of Russia,Talgat Tadzhuddin / Shaikh al-Islam / Grand Mufti,1992,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of Russian Federation and Russian Council of Muftis,Rawil Ğaynetdin / Grand Mufti and Chairman,1996,
Islam,Sunni,,Sunni / Russia / Spiritual Assembly of the Muslims of Russia,Albir Krganov / Mufti,2016,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Asian Part of Russia,Nafigulla Ashirov / Mufti,1997,
Islam,Sunni,,Sunni / Russia / Coordinating Center of North Caucasus Muslims,Ismail Berdiyev / Chairman,2003,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Republic of Adygea and Krasnodar Krai,Askarbiy Kardanov / Mufti,2012,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Republic of Bashkortostan,Ainur Birgalin / Mufti,2019,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Chechen Republic,Salah Mezhiev / Mufti,2014,
Islam,Sunni,,Sunni / Russia / Muftiate of the Republic of Dagestan,Ahmad Afandi Abdulaev / Mufti,1998,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Kabardino-Balkarian Republic,Hazrataliy Dzasejev / Mufti,2010,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Karachay-Cherkess Republic,Ismail Berdiyev / Mufti,1991,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Republic of North Ossetia–Alania,Khajimurat Gatsalov / Mufti,2011,
Islam,Sunni,,Sunni / Russia / Spiritual Administration of the Muslims of the Republic of Tatarstan,Kamil Samigullin / Mufti,2013,
Islam,Sunni,,Sunni / Saudi Arabia / Council of Senior Scholars and Permanent Committee for Scholarly Research and Ifta,Salih al‑Fawzan,2025,
Islam,Sunni,,Sunni / Taiwan / Chinese Muslim Association,Dawood Cho Yong-tsing / President,2008,
Islam,Sunni,,Sunni / Ukraine / Spiritual Directorate of the Muslims of Crimea (Simferopol),Emirali Ablaev / Mufti,1999,
Islam,Sunni,,Sunni / Uzbekistan / Muslim Board of Uzbekistan,Nuriddin Kholiqnazarov / Grand Mufti,2021,
Islam,Sunni,,Sunni / Yemen / Dar al-Mustafa,Al-Habib Umar bin Hafidz,1997,
Islam,,,Shia / Twelver / Imams,Muhammad al-Mahdi / Imam,874,
Islam,,,Shia / Twelver / Marja' (current list),Hossein Noori-Hamedani,2000,
Islam,,,Shia / Twelver / Marja' (current list),Muhammad al-Fayadh,2008,
