row_number,religion,denomination,sub_denomination,sub_denomination_2,leader,old_since,new_since,precision_before,precision_after,tenure_basis,source_type,source_url,notes
55,Christianity,Oriental Orthodoxy,,Ethiopian Orthodox Church,Abune Mathias / Abuna and Patriarch,2013,2013,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Abune_Mathias,Best candidate `2013` did not improve precision over `2013`; Wikipedia lead extract; Search query `Abune Mathias / Abuna and Patriarch Ethiopian Orthodox Church` matched `Abune Mathias` with score 29
56,Christianity,Oriental Orthodoxy,,Syriac Orthodox Church,Ignatius Aphrem II Karim,2014,May 29th 2014,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Ignatius_Aphrem_II,Wikipedia infobox field `enthroned`; Search query `Ignatius Aphrem II Karim Syriac Orthodox Church` matched `Ignatius Aphrem II` with score 24
57,Christianity,Oriental Orthodoxy,,Indian Orthodox Church,Baselios Marthoma Mathews III / Catholicos of the East and Malankara Metropolitan,2021,October 15th 2021,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Baselios_Marthoma_Mathews_III,Wikipedia infobox field `enthroned`; Search query `Baselios Marthoma Mathews III / Catholicos of the East and Malankara Metropolitan Indian Orthodox Church` matched `Baselios Marthoma Mathews III` with score 54
58,Christianity,Protestantism,,National Association of Evangelicals,President Walter Kim,2020,January 2020,year,month,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Walter_Kim,Wikipedia lead extract; Search query `President Walter Kim National Association of Evangelicals` matched `Walter Kim` with score 18
60,Christianity,Protestantism,Baptist,Association of Fundamental Baptist Churches in the Philippines,Arleen D. Fidel / Chairman,2004,2004,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Association_of_Fundamental_Baptist_Churches_in_the_Philippines,Search query `Chairman Association of Fundamental Baptist Churches in the Philippines` matched `Association of Fundamental Baptist Churches in the Philippines` with score 19
62,Christianity,Protestantism,Baptist,Protestantism / Baptist / International Union of Churches of Evangelical Christians-Baptists,Nikolay Antonyuk / Chairman,2008,2008,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/The_Voice_(Russian_TV_series)_season_5,Search query `Nikolay Antonyuk` matched `The Voice (Russian TV series) season 5` with score 3
63,Christianity,Protestantism,Baptist,Protestantism / Baptist / Evangelical Baptist Church of Georgia,Malkhaz Songulashvili / Bishop,present,present,present,present,,secondary_wikipedia,https://en.wikipedia.org/wiki/Episcopal_Baptists,Search query `Malkhaz Songulashvili / Bishop Protestantism / Baptist / Evangelical Baptist Church of Georgia` matched `Episcopal Baptists` with score 16
64,Christianity,Protestantism,Baptist,Protestantism / Baptist / Russian Union of Evangelical Christians-Baptists,Peter Mickiewicz / President,2018,2018,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Russian_Union_of_Evangelical_Christians-Baptists,Search query `Peter Mickiewicz` matched `Russian Union of Evangelical Christians-Baptists` with score 16
65,Christianity,Protestantism,Baptist,Protestantism / Baptist / Union of Evangelical Christian Baptists of Kazakhstan,Frans G. Tissen / President,present,present,present,present,,secondary_wikipedia,https://en.wikipedia.org/wiki/Union_of_Evangelical_Christian_Baptists_of_Kazakhstan,Search query `Frans G. Tissen` matched `Union of Evangelical Christian Baptists of Kazakhstan` with score 25
66,Christianity,Protestantism,Baptist,Protestantism / Baptist / Baptist Union of Romania,Otniel Bunaciu / President,2007,2007,year,year,,manual_review,https://en.wikipedia.org/wiki/List_of_21st-century_religious_leaders,Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Otniel Bunaciu / President Protestantism / Baptist / Baptist Union of Romania` matched `List of 21st-century religious leaders` with score 1
67,Christianity,Protestantism,Baptist,Protestantism / Baptist / Association of Reformed Baptist Churches of America,Gordon Taylor / Coordinator,2008,2008,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Charles_George_Gordon,Search query `Gordon Taylor Protestantism` matched `Charles George Gordon` with score 8
68,Christianity,Protestantism,Baptist,Protestantism / Baptist / Baptist Joint Committee for Religious Liberty,Amanda Tyler - Executive Director,2017,2017,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Tyler_Perry,Best candidate `2006` did not improve precision over `2017`; Wikipedia lead extract; Search query `Amanda Tyler Protestantism` matched `Tyler Perry` with score 10
69,Christianity,Protestantism,Baptist,Protestantism / Baptist / Baptist Missionary Association of America,John David Smith / Executive Director,2010,2010,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/David_Livingstone,Search query `John David Smith / Executive Director Protestantism / Baptist / Baptist Missionary Association of America` matched `David Livingstone` with score 8
70,Christianity,Protestantism,Baptist,Protestantism / Baptist / Conservative Baptist Association of America,Stan Rieb / National Network Facilitator,2009,2009,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Computer_network,Search query `National Network Facilitator` matched `Computer network` with score 9
71,Christianity,Protestantism,Baptist,Protestantism / Baptist / Cooperative Baptist Fellowship,Daniel Vestal / Coordinator,1996,1996,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Cooperative_Baptist_Fellowship,Search query `Daniel Vestal / Coordinator Protestantism / Baptist / Cooperative Baptist Fellowship` matched `Cooperative Baptist Fellowship` with score 18
72,Christianity,Protestantism,Baptist,Protestantism / Baptist / Full Gospel Baptist Church Fellowship,Paul S. Morton / International Presiding Bishop,1994,1994,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Full_Gospel_Baptist_Church_Fellowship,Search query `International Presiding Bishop` matched `Full Gospel Baptist Church Fellowship` with score 25
73,Christianity,Protestantism,Baptist,Protestantism / Baptist / National Baptist Convention / USA / Inc.,Jerry Young / President,2014,2014,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Southern_Baptist_Convention,Search query `Jerry Young / President Protestantism / Baptist / National Baptist Convention / USA / Inc.` matched `Southern Baptist Convention` with score 15
74,Christianity,Protestantism,Baptist,Progressive National Baptist Convention,James C. Perkins / President,2014,2014,year,year,,manual_review,https://en.wikipedia.org/wiki/James_Breck_Perkins,Manual review rejected the automated match and restored the original value; Wikipedia infobox field `term_start`; Search query `James C. Perkins` matched `James Breck Perkins` with score 21
75,Christianity,Protestantism,Baptist,Protestantism / Baptist / Southern Baptist Convention,Clint Pressley / President,2024,2024,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/President_of_the_Southern_Baptist_Convention,Search query `Clint Pressley Protestantism` matched `President of the Southern Baptist Convention` with score 32
76,Christianity,Protestantism,Holiness,Protestantism / Holiness / Church of the Nazarene,Eugenio Duarte / General Superintendent,2009,2009,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/General_Superintendent_(Church_of_the_Nazarene),Search query `Eugenio Duarte / General Superintendent Protestantism / Holiness / Church of the Nazarene` matched `General Superintendent (Church of the Nazarene)` with score 25
77,Christianity,Protestantism,Holiness,Protestantism / Holiness / Church of the Nazarene,David Busic / General Superintendent,2013,2013,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/General_Superintendent_(Church_of_the_Nazarene),Search query `David Busic / General Superintendent Protestantism / Holiness / Church of the Nazarene` matched `General Superintendent (Church of the Nazarene)` with score 25
78,Christianity,Protestantism,Holiness,Protestantism / Holiness / Church of the Nazarene,Carla Sunberg / General Superintendent,2017,2017,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/General_Superintendent_(Church_of_the_Nazarene),Search query `Carla Sunberg Protestantism` matched `General Superintendent (Church of the Nazarene)` with score 31
79,Christianity,Protestantism,Holiness,Protestantism / Holiness / Pillar of Fire International,Joseph Gross / General Superintendent,2008,2008,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Michael_Joseph_Gross,Search query `Joseph Gross` matched `Michael Joseph Gross` with score 32
80,Christianity,Protestantism,Holiness,Protestantism / Holiness / Salvation Army,Lyndon Buckingham / General,2023,August 3rd 2023,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Lyndon_Buckingham,Wikipedia infobox field `term_start`; Search query `Lyndon Buckingham / General Protestantism / Holiness / Salvation Army` matched `Lyndon Buckingham` with score 36
81,Christianity,Protestantism,Lutheran,Protestantism / Lutheranism / Confessional Evangelical Lutheran Conference,Daniel Koelpin / President,2011,2011,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Evangelical_Heritage_Version,Search query `Daniel Koelpin` matched `Evangelical Heritage Version` with score 8
82,Christianity,Protestantism,Lutheran,Protestantism / Lutheranism / International Lutheran Council / Executive Secretary,Samuel H. Nafzger / Executive Secretary,2001,2001,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Lutheran_Church_–_Missouri_Synod,Search query `Samuel H. Nafzger` matched `Lutheran Church – Missouri Synod` with score 17
83,Christianity,Protestantism,Lutheran,Protestantism / Lutheranism / Lutheran World Federation,Henrik Stubkjær (Palestine) / President,2023,2023,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Lutheran_World_Federation,Search query `Henrik Stubkjær (Palestine) / President Protestantism / Lutheranism / Lutheran World Federation` matched `Lutheran World Federation` with score 15
84,Christianity,Protestantism,Lutheran,Protestantism / Lutheranism / Evangelical Lutheran Church of Estonia,Urmas Viilma / Archbishop,2015,2015,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Estonian_Evangelical_Lutheran_Church,Search query `Urmas Viilma / Archbishop Protestantism / Lutheranism / Evangelical Lutheran Church of Estonia` matched `Estonian Evangelical Lutheran Church` with score 16
